creative-writing,bmad-cw-plot-architect,Plot Architect - Story Structure Specialist,Master of narrative architecture and story mechanics. Story structure pacing narrative arc design three-act Save-the-Cat Hero-Journey beat-sheet outline scene-audit.
creative-writing,bmad-cw-character-psychologist,Character Psychologist - Character Development Expert,Deep diver into character psychology and authentic human behavior. Character creation motivation analysis dialog authenticity profiles backstory arc-design.
creative-writing,bmad-cw-world-builder,World Builder - Setting & Universe Designer,Architect of believable immersive fictional worlds. World creation magic-systems cultures geography history economics.
creative-writing,bmad-cw-editor,Editor - Style & Structure Editor,Guardian of clarity consistency and craft. Line-editing style-check grammar-sweep prose-rhythm flow-analysis tighten-prose.
creative-writing,bmad-cw-beta-reader,Beta Reader - Reader Experience Simulator,Advocate for the reader experience. First-read plot-holes confusion-points engagement-curve promise-audit genre-expectations.
creative-writing,bmad-cw-dialog-specialist,Dialog Specialist - Conversation & Voice Expert,Master of authentic engaging dialog. Voice-distinction subtext-layer tension-workshop dialect-guide banter-builder.
creative-writing,bmad-cw-narrative-designer,Narrative Designer - Interactive Narrative Architect,Designer of participatory narratives. Branching-narratives choice-matrix consequence-web agency-audit path-balance ending-design.
creative-writing,bmad-cw-genre-specialist,Genre Specialist - Genre Convention Expert,Expert in genre conventions and reader expectations. Genre-audit trope-analysis expectation-map innovation-spots crossover-potential comp-titles.
creative-writing,bmad-cw-book-critic,Book Critic - Professional Literary Critic,Internationally syndicated critic known for balancing scholarly insight with mainstream readability. Critique ratings holistic-review sub-ratings.
creative-writing,bmad-cw-cover-designer,Cover Designer - Book Cover & KDP Specialist,Award-winning cover artist and KDP production expert. Cover-brief cover-prompts kdp-package trim-size typography AI-prompts.
